ID,Answer
0,長劍
1,《諸羅縣志
2,袁晁率
3,柏林陸軍學院
4,長盤勝負
5,《血盟救國軍軍歌》認為是《義勇軍進行曲》的「母本
6,1889年
7,西漢的版圖向西擴張
8,芬尼
9,醜化對方
10,周星馳
11,秀吉
12,高架設計以配合高架路線
13,anticipation
14,2007年
15,硫化氫
16,休伯特•漢弗萊
17,外面的部份溫度會比內部核心的低
18,經濟
19,100公里
20,愛爾蘭語，在英語中也稱為[UNK]、[UNK]、[UNK][UNK]或[UNK]，因此在漢語中愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1861年
25,外交活動
26,拉丁文
27,猶太基督徒所寫，也就是在羅馬帝國統治下基督的猶太門徒。寫下路加福音和使徒行傳的路加，則經常被認為是例外。一些學者認為路加是希臘人
28,1974年
29,霍克菲爾德
30,文化大革命
31,《名人傳
32,灣仔
33,俗雲萬里石塘
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,沒有
39,十丐
40,葡萄牙
41,大戰期間
42,46億年
43,1070年
44,社會保障法規
45,第一教學樓
46,1930年
47,全息照片郵票
48,1932年
49,大型購物中心[UNK]開幕後
50,康熙帝
51,美國哈佛大學
52,真實性
53,亞歷山大一世被刺殺
54,米利都
55,基督教
56,阿爾法版本
57,六大城市之一
58,新北市
59,愛心聖誕大行動
60,國王
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,擴張與集權化
66,李宗仁
67,宋代
68,噴射發動機為動力，擺脫螺旋槳在接近音速時的上限
69,弘治十二年
70,中國
71,2010年
72,德意志聯邦共和國
73,氦
74,「傳教士的主保
75,交通運輸部
76,高麗大學校主樓
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋文帝開皇九年四月，隋滅南陳後，開始要求周邊國家為其臣屬
88,五胡君主
89,1861年
90,豐臣秀吉
91,三吳地區
92,鋼鐵和陶瓷
93,
94,武漢水利電力大學
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1919年
99,1949年
100,大象
101,1915年
102,1600年
103,異裂。根據類型
104,美國
105,芝諾比亞
106,沈器遠
107,十
108,佛學論書
109,南區公所
110,歐登堡
111,三天
112,1944年
113,曼努埃爾二世
114,巴夏禮
115,哈林河
116,孟加拉
117,指揮家
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,國務委員
122,阿拉伯人
123,
124,年僅8歲
125,重重
126,四百公尺，最小的坡14度最大的20度。當第一次比賽時，賽完全程的改良式老爺車到達終點時，剎車部份的剎車油已在下坡猛剎時被用得精光，冒出陣陣白色的濃煙!為了紀念這一次比賽，從此泰馬派山的這條防火山道便被命名為瑞派克路
127,1966年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,福建林家
130,用來運貨
131,民主黨得益
132,西人黨
133,2013年
134,通往
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,兩波
139,1939年
140,高速攝影、間諜氣球開發
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,喬治麥高文
146,吳有性
147,
148,勃艮地人
149,德蘇戰爭
150,髒層
151,女性
152,1951年
153,就業保障制度
154,清光緒十七年
155,[UNK]，但他發現colossus在古希臘文中意為「雕像
156,社會上的強勢控制
157,未經國聯批准下合併
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年初
162,63位
163,天主教阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,[UNK]
166,填海
167,孫中山
168,農業
169,
170,1870年8月2日
171,1999年
172,《天淨沙》
173,二次大戰
174,公元68年
175,趙佗創立南越國，中山屬南越國
176,幾何學
177,岑智明
178,建立德意志帝國告終
179,公元前362年
180,創建強力政府
181,28歲
182,2000年10月
183,保加利亞
184,三大優點
185,10度
186,自由黨
187,蘇聯
188,波士頓
189,1992年
190,最先學習的技術
191,後箱館裁判所
192,明朝
193,文藝復興
194,2000年
195,2012年
196,考古
197,英國部族級驅逐艦
198,森林
199,阿森納女子足球俱樂部
200,多黨制
201,美食天堂
202,1920年
203,美元
204,多倫多
205,在軌道上驅動列車
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,在時域上數學形式為連續函式的訊號
210,蘊含了北魏原型的高句麗佛教藝術展現了生命力與流動性
211,亞歷山大一世
212,威尼斯影展
213,熱帶
214,副熱帶季風氣候區
215,聯盟合作
216,海上疆界劃定
217,克孜勒
218,大躍進
219,好在歷史是人民寫的
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,1449年
225,部落最高領袖或皇帝
226,2500米
227,國立廣東大學
228,美國發明家
229,2006年
230,沒有
231,中國器官移植手術
232,元世祖
233,鄭芝龍舊部郭懷一為領袖的漢族移民
234,三倍
235,耗盡了核心的氫燃料，質量大於0.4太陽質量
236,颱風
237,2014年
238,1968年
239,世界第六
240,最能令人信服和終身受益的學習經歷
241,鋁土礦資源，但當地政府為保證烏江環境和生態，依然放棄開發沿烏江的鋁土礦
242,現代化建築
243,阿美族
244,黑死病
245,2013年
246,赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,芝加哥公牛隊
250,溥[UNK]
251,副主席
252,
253,廣東省政府委員會
254,26.39億美元
255,1951年
256,
257,1984年
258,地面車站
259,下薩克森邦
260,法蘭西第二帝國
261,商業
262,20年
263,在地面雜訊中找出敵機的位置
264,哥白尼日心說
265,缺氧狀態
266,袁世凱
267,明朝
268,1848年
269,
270,1998年
271,共同民主黨
272,《南華早報》
273,
274,佛像
275,阿聯
276,交通基建
277,前線步兵師
278,田川氏
279,天狼星在東方地平線的出現
280,起搏細胞
281,1975-1985年
282,德語地區
283,離島機場
284,1237年
285,東羅馬
286,傅亮
287,荷蘭
288,美國律師協會
289,1658年
290,清代
291,美川王
292,梁啟超
293,日本
294,1998年1月1日
295,高自行
296,孟懷玉
297,鈣離子
298,383年
299,羅納爾迪尼奧
300,秦軍
301,火山活動
302,利奧三世
303,拉丁字母
304,提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題，對大型飛機相隔距離很遠的控制面也可以提高反應與效率，此外，還能夠減少重量與這些裝備使用的空間
305,抗氧化劑丁基羥基甲苯
306,軍事圍剿，以致爆發為期一月的中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,協商會議
314,446種
315,曹魏故都智慧之旅
316,威廉港的貨櫃碼頭亞德港
317,布爾什維克革命
318,民主黨
319,邊沁
320,視錐細胞
321,1928年
322,跨越時間的交易方式
323,十多個
324,300美元
325,孔祥熙
326,大力發展體育事業
327,元世祖
328,燃油混合動力電動自行車
329,數學
330,亞熱帶季風氣候
331,
332,
333,朱一貴
334,飼養家畜
335,發球失誤
336,銃炮
337,1959年
338,1980年代
339,凱·艾維州長
340,東漢
341,1980年
342,拉丁文譯本，由耶柔米自希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,美國
349,改善處理館內大量的數據與資源的方法
350,越野時
351,
352,1972年
353,突厥
354,三菱重工業長崎造船廠
355,南斯拉夫人
356,管理不善的困擾，而現如今民主制度的恢復
357,硫礦
358,與丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,蝸牛狀
363,波蘭
364,1950年
365,韓國
366,維京戈達島
367,1964年
368,史都華中校
369,1910年
370,中亞地區
371,中亞新興大國花剌子模在沙阿摩訶末時期崛起
372,1958年
373,1928年
374,激進組織
